"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj_DEseq" "padj"
"YAP1" 799.356971565331 -1.24035836618656 0.0701919626931461 -17.6709457692323 7.02098811843491e-70 9.31474493672759e-66 1.02513447517268e-65
"PRTG" 1893.72897876633 -0.986163098919954 0.0575706899621574 -17.129603615454 8.92607810330123e-66 5.92111390982487e-62 6.51648331931506e-62
"CLNS1A" 1330.3431691339 -1.05640648628547 0.0634412625046072 -16.6517254635144 2.94001770498307e-62 1.30017382973368e-58 1.43090661701526e-58
"PPP3CA" 262.971418580861 -2.12263850786879 0.144549008616041 -14.6845594320682 8.09586890125267e-49 2.68519731782298e-45 2.95519454567976e-45
"UHMK1" 566.894886836967 -1.16727666023967 0.087720433916971 -13.3067816484414 2.1139321098985e-40 5.60910746040469e-37 6.1731045473256e-37
"JUND" 3316.12667750732 1.039092757933 0.0792411837885454 13.113039309279 2.77260371446871e-39 6.1306889133094e-36 6.74713113915961e-36
"SMARCA1" 635.538673183524 -1.12985254364842 0.08684137956939 -13.0105319520588 1.0659744826293e-38 2.02032620872042e-35 2.22347048869577e-35
"PSAT1" 2433.44224168197 1.11240019540661 0.0859379313379097 12.9442282131813 2.53295966732941e-38 4.20059698830741e-35 4.62296801283459e-35
"TGFBR1" 1306.98541185905 -0.972076474106202 0.076370473210361 -12.7284332968402 4.11003597190624e-37 6.05864969325334e-34 6.66784835842256e-34
"TMA7" 2974.54268129902 -0.769264543151596 0.0608292712218354 -12.6462889937675 1.17285106565947e-36 1.55602150881042e-33 1.71247984096939e-33
"KIF5B" 2034.00558270279 -0.632099764188974 0.0513960233619257 -12.2986122824676 9.21435861271682e-35 1.11133541559013e-31 1.22308045549344e-31
"NR2F1" 6917.76485846704 -0.859164774635736 0.0710082881353141 -12.0994998921605 1.06256518707049e-33 1.17475436140535e-30 1.29287619136802e-30
